type,title,release_year,rating,listed_in,description,service
TV Show,Breaking Bobby Bones,2021,TV-14,"Action-Adventure, Docuseries, Reality",Bobby Bones travels to meet local heroes who challenge him to conquer their trades.,disney plus
TV Show,Mickey Mouse Mixed-Up Adventures,2019,TV-Y,"Animation, Kids, Sports",Hot Dog! Get mixed-up with Mickey and all of his pals!,disney plus
TV Show,Monsters at Work,2021,TV-G,"Animation, Comedy, Family","""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester.",disney plus
Movie,"The Good, The Bart, and The Loki",2021,TV-PG,"Animation, Comedy, Fantasy","Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes.",disney plus
TV Show,Disney Raven's Home,2016,TV-G,"Comedy, Family, Fantasy",Raven and Chelsea raise their three children together.,disney plus
Movie,The Sandlot,1993,PG,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,disney plus
Movie,The Sandlot 2,2005,PG,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.",disney plus
Movie,Adventures in Babysitting,1987,TV-PG,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.,disney plus
TV Show,Running Wild with Bear Grylls,2019,TV-PG,"Action-Adventure, Reality, Survival",Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.,disney plus
TV Show,The Mysterious Benedict Society,2021,TV-PG,"Action-Adventure, Family",Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.,disney plus
